,ID,Total Number of LORs,Invalid Number of LORs,Similarity Score,Cyclic LOR
213,220.0,3.0,1,0.668589891,0.0
214,221.0,1.0,0,0.833812682,0.0
215,222.0,6.0,1,0.783097495,0.0
216,223.0,2.0,1,0.753281755,1.0
217,224.0,3.0,1,0.660208361,0.0
218,225.0,6.0,1,0.658959497,0.0
219,226.0,1.0,0,0.81822436,0.0
220,227.0,5.0,1,0.849581885,0.0
221,228.0,2.0,1,0.727260243,0.0
222,229.0,3.0,1,0.882276007,0.0
223,230.0,3.0,1,0.789012309,0.0
224,232.0,3.0,1,0.796783791,0.0
225,233.0,4.0,1,0.660632603,0.0
226,234.0,4.0,1,0.67574873,0.0
227,235.0,4.0,1,0.784656693,0.0
228,236.0,4.0,1,0.622227373,0.0
229,237.0,2.0,1,0.681690566,0.0
230,238.0,4.0,1,0.758286249,0.0
231,239.0,3.0,1,0.755273938,0.0
232,240.0,4.0,1,0.878747001,0.0
233,241.0,4.0,1,0.859755702,1.0
234,242.0,5.0,1,0.894009474,0.0
235,243.0,6.0,1,0.828918067,0.0
236,244.0,3.0,1,0.734846556,0.0
237,245.0,3.0,1,0.720224907,0.0
238,246.0,4.0,1,0.632153732,0.0
239,247.0,1.0,0,0.872065789,0.0
240,248.0,3.0,1,0.865908904,0.0
241,249.0,4.0,1,0.822957734,0.0
242,250.0,3.0,1,0.707243012,0.0
243,251.0,2.0,1,0.657784676,0.0
244,252.0,1.0,0,0.799295497,0.0
245,253.0,4.0,1,0.736690867,0.0
246,254.0,2.0,1,0.809259345,1.0
247,255.0,2.0,1,0.66125879,1.0
248,256.0,1.0,0,0.601473297,0.0
249,257.0,5.0,1,0.68107737,0.0
250,258.0,2.0,1,0.842470012,0.0
251,259.0,3.0,1,0.679093623,0.0
252,260.0,3.0,1,0.674139232,0.0
253,261.0,6.0,1,0.789386643,0.0
254,262.0,2.0,1,0.851459486,0.0
255,263.0,3.0,1,0.896648783,0.0
256,264.0,2.0,1,0.768151948,0.0
257,265.0,4.0,1,0.655560488,0.0
258,266.0,6.0,2,0.744420596,0.0
259,267.0,1.0,0,0.761410979,0.0
260,268.0,1.0,0,0.658280985,0.0
261,269.0,4.0,1,0.710695295,0.0
262,270.0,3.0,1,0.742638303,0.0
263,271.0,3.0,2,0.770212138,0.0
264,272.0,6.0,1,0.880370976,0.0
265,273.0,5.0,1,0.754944852,0.0
266,274.0,3.0,1,0.725008067,0.0
267,275.0,4.0,1,0.764014022,0.0
268,276.0,2.0,1,0.861053552,0.0
269,277.0,1.0,0,0.603375312,0.0
270,279.0,4.0,1,0.880635711,1.0
271,280.0,2.0,1,0.83732532,0.0
272,281.0,4.0,1,0.770548019,0.0
273,282.0,5.0,1,0.728293024,0.0
274,283.0,3.0,1,0.846060299,0.0
275,284.0,5.0,1,0.885859418,1.0
276,285.0,5.0,1,0.84855457,0.0
277,286.0,4.0,1,0.640296764,1.0
278,287.0,5.0,1,0.627583929,0.0
279,288.0,2.0,1,0.840467929,0.0
280,289.0,2.0,1,0.617279396,0.0
281,290.0,4.0,2,0.647026567,0.0
282,291.0,4.0,1,0.629259101,0.0
283,292.0,3.0,1,0.686328754,0.0
284,293.0,4.0,1,0.652920504,0.0
285,294.0,2.0,1,0.886173839,0.0
286,295.0,3.0,1,0.883222041,1.0
287,296.0,1.0,0,0.868978181,0.0
288,297.0,2.0,1,0.706719629,0.0
289,298.0,4.0,1,0.627733241,0.0
290,299.0,3.0,1,0.656483409,0.0
291,300.0,4.0,1,0.725499878,0.0
292,301.0,4.0,1,0.885481473,0.0
293,302.0,6.0,1,0.605362401,1.0
294,303.0,2.0,2,0.880870791,0.0
295,304.0,5.0,1,0.743792555,0.0
296,305.0,1.0,0,0.885062488,0.0
297,306.0,3.0,1,0.901216186,0.0
298,307.0,5.0,1,0.830144807,0.0
299,308.0,3.0,1,0.89241399,0.0
300,309.0,2.0,1,0.791480888,0.0
301,310.0,4.0,2,0.880304287,0.0
302,311.0,3.0,1,0.775779084,0.0
303,312.0,6.0,1,0.731012484,0.0
304,313.0,5.0,1,0.608467077,0.0
305,314.0,1.0,0,0.724141247,0.0
306,315.0,3.0,1,0.904218411,0.0
307,316.0,2.0,1,0.84339292,0.0
308,317.0,4.0,1,0.723473911,0.0
309,318.0,1.0,0,0.747453394,0.0
310,319.0,3.0,1,0.80721608,0.0
311,320.0,7.0,1,0.682631152,0.0
312,321.0,2.0,1,0.723054945,0.0
313,322.0,13.0,1,0.830606878,1.0
314,323.0,1.0,0,0.650142982,0.0
315,324.0,5.0,1,0.772544807,1.0
316,325.0,2.0,1,0.908712799,0.0
317,326.0,2.0,1,0.818958967,1.0
318,327.0,2.0,1,0.675947965,1.0
319,328.0,2.0,1,0.708237113,0.0
320,329.0,6.0,1,0.846316157,0.0
321,330.0,3.0,1,0.67645433,0.0
322,331.0,8.0,1,0.788958572,0.0
323,332.0,4.0,1,0.693283422,0.0
324,333.0,4.0,1,0.773059472,0.0
325,334.0,1.0,0,0.756852105,0.0
326,335.0,6.0,1,0.890057882,0.0
327,336.0,1.0,0,0.67498447,0.0
328,337.0,5.0,1,0.652666683,1.0
329,338.0,6.0,1,0.807526263,1.0
330,339.0,6.0,1,0.835215184,1.0
331,340.0,3.0,1,0.904146595,0.0
332,341.0,4.0,1,0.760820022,0.0
333,342.0,2.0,1,0.902504202,0.0
334,343.0,2.0,1,0.691920616,0.0
335,344.0,1.0,0,0.717962707,0.0
336,345.0,2.0,1,0.640615006,1.0
337,346.0,1.0,0,0.716774037,0.0
338,347.0,4.0,1,0.664562249,0.0
339,348.0,1.0,0,0.77800332,0.0
340,349.0,1.0,0,0.68684785,0.0
341,350.0,2.0,1,0.726432864,0.0
342,351.0,2.0,1,0.661303658,0.0
343,352.0,4.0,1,0.640574807,0.0
344,353.0,3.0,1,0.742650705,0.0
345,354.0,4.0,1,0.865197228,0.0
346,355.0,7.0,1,0.710349109,0.0
347,356.0,4.0,1,0.898020369,0.0
348,357.0,2.0,1,0.805325974,0.0
349,358.0,3.0,1,0.832696797,0.0
350,359.0,4.0,1,0.828109607,0.0
351,360.0,1.0,0,0.692127757,0.0
352,361.0,9.0,1,0.757550991,0.0
353,362.0,1.0,0,0.817919575,0.0
354,363.0,1.0,0,0.839101486,0.0
355,364.0,1.0,0,0.842110796,0.0
356,365.0,3.0,1,0.860749371,0.0
357,366.0,5.0,1,0.668559278,0.0
358,367.0,5.0,1,0.70690148,0.0
359,368.0,1.0,0,0.752859358,0.0
360,369.0,3.0,1,0.786207949,0.0
361,370.0,5.0,1,0.756581919,1.0
362,371.0,4.0,1,0.778975485,0.0
363,372.0,4.0,1,0.771521596,1.0
364,374.0,3.0,1,0.77484121,0.0
365,375.0,2.0,1,0.643356296,0.0
366,376.0,2.0,1,0.84572566,0.0
367,377.0,4.0,1,0.764702375,0.0
368,378.0,3.0,1,0.801136274,0.0
369,379.0,3.0,1,0.635906578,0.0
370,380.0,4.0,1,0.855549885,0.0
371,381.0,8.0,1,0.845047309,0.0
372,382.0,1.0,1,0.64508464,0.0
373,383.0,1.0,0,0.890856596,0.0
374,384.0,3.0,1,0.752061926,0.0
375,385.0,4.0,1,0.714694144,0.0
376,386.0,2.0,1,0.704508089,0.0
377,387.0,4.0,1,0.828440337,0.0
378,388.0,1.0,0,0.789727984,0.0
379,389.0,3.0,1,0.682855184,0.0
380,390.0,2.0,1,0.777854547,0.0
381,391.0,1.0,0,0.794676536,0.0
382,392.0,2.0,1,0.811925064,0.0
383,393.0,4.0,1,0.663771326,0.0
384,394.0,4.0,1,0.785704517,0.0
385,395.0,2.0,2,0.785278131,0.0
386,396.0,1.0,0,0.787981069,0.0
387,397.0,4.0,1,0.901668341,1.0
388,398.0,8.0,1,0.856161126,0.0
389,399.0,1.0,0,0.608150024,0.0
390,400.0,1.0,0,0.725619473,0.0
391,401.0,2.0,1,0.681401851,0.0
392,402.0,3.0,1,0.710275022,0.0
393,403.0,2.0,1,0.709386423,0.0
394,404.0,4.0,1,0.890886004,0.0
395,405.0,4.0,1,0.730792855,0.0
396,406.0,1.0,0,0.857619816,0.0
397,407.0,4.0,2,0.817542094,0.0
398,408.0,3.0,1,0.81396803,0.0
399,409.0,6.0,1,0.853301258,0.0
400,410.0,3.0,1,0.685942499,0.0
401,411.0,1.0,1,0.60156185,0.0
402,412.0,2.0,1,0.825300375,0.0
403,413.0,3.0,1,0.651241352,0.0
404,414.0,7.0,2,0.636667894,0.0
405,415.0,5.0,1,0.701064925,0.0
406,416.0,1.0,0,0.748681687,0.0
407,417.0,1.0,0,0.635463497,0.0
408,418.0,2.0,1,0.839206162,0.0
409,419.0,1.0,0,0.832745826,0.0
410,420.0,3.0,1,0.744042565,0.0
411,421.0,3.0,1,0.779034888,0.0
412,422.0,3.0,1,0.881200459,0.0
413,423.0,2.0,1,0.744016463,0.0
414,424.0,1.0,0,0.836288111,0.0
415,425.0,2.0,1,0.755796737,0.0
416,426.0,3.0,1,0.60933959,0.0
417,427.0,2.0,1,0.63659901,0.0
418,428.0,7.0,1,0.732286371,0.0
419,429.0,2.0,1,0.867932085,0.0
420,430.0,2.0,1,0.626563362,0.0
421,431.0,2.0,1,0.779929872,0.0
422,432.0,2.0,1,0.63569369,0.0
423,433.0,5.0,1,0.887193391,0.0
424,434.0,4.0,1,0.670076461,0.0
425,435.0,3.0,1,0.666779713,0.0
426,436.0,3.0,1,0.754560807,0.0
427,437.0,3.0,1,0.888672627,0.0
428,438.0,3.0,1,0.81246559,0.0
429,439.0,6.0,1,0.736249767,0.0
430,440.0,1.0,0,0.63611137,0.0
431,441.0,2.0,1,0.660493395,0.0
432,442.0,1.0,0,0.715545179,0.0
433,443.0,7.0,1,0.874674467,0.0
434,444.0,1.0,0,0.768278265,0.0
435,445.0,3.0,1,0.761625546,0.0
436,446.0,3.0,1,0.847454673,0.0
437,447.0,1.0,0,0.732268278,0.0
438,448.0,2.0,1,0.629600274,0.0
439,449.0,3.0,1,0.687000566,0.0
440,450.0,1.0,0,0.60942733,1.0
441,452.0,2.0,1,0.827071459,0.0
442,453.0,1.0,0,0.6407373,0.0
443,454.0,5.0,1,0.690063583,0.0
444,455.0,3.0,1,0.654588243,0.0
445,456.0,1.0,0,0.848298157,0.0
446,457.0,3.0,1,0.820989868,0.0
447,458.0,2.0,1,0.856240559,0.0
448,459.0,3.0,1,0.868747373,0.0
449,460.0,2.0,1,0.651513167,0.0
450,461.0,1.0,0,0.624166847,0.0
451,462.0,3.0,1,0.805580847,0.0
452,463.0,3.0,1,0.772851749,0.0
453,464.0,2.0,1,0.838847761,0.0
454,465.0,2.0,1,0.823918451,0.0
455,466.0,2.0,1,0.811442707,0.0
456,467.0,2.0,1,0.842939392,1.0
457,468.0,3.0,1,0.794559793,0.0
458,469.0,1.0,0,0.812351251,1.0
459,470.0,5.0,1,0.849544439,0.0
460,471.0,1.0,0,0.640179153,0.0
461,472.0,3.0,1,0.796444723,0.0
462,473.0,2.0,1,0.696602356,0.0
463,475.0,5.0,1,0.907103695,0.0
464,476.0,2.0,1,0.842635817,0.0
465,477.0,2.0,1,0.725962323,0.0
466,478.0,1.0,0,0.7412011,0.0
467,479.0,4.0,1,0.700908898,0.0
468,480.0,3.0,1,0.803157197,0.0
469,481.0,3.0,1,0.857205572,0.0
470,482.0,6.0,1,0.717462917,0.0
471,483.0,1.0,0,0.89001707,0.0
472,484.0,1.0,0,0.61047231,1.0
473,485.0,1.0,0,0.682203678,0.0
474,486.0,1.0,0,0.792565356,0.0
475,487.0,2.0,1,0.909155036,0.0
476,488.0,4.0,1,0.775768577,0.0
477,489.0,2.0,1,0.841324754,0.0
478,490.0,6.0,1,0.835463348,0.0
479,491.0,3.0,1,0.70701615,0.0
480,492.0,3.0,2,0.808438002,0.0
481,493.0,7.0,1,0.622326351,0.0
482,494.0,3.0,1,0.755243782,0.0
483,495.0,5.0,1,0.632975087,1.0
484,496.0,1.0,0,0.898382371,0.0
485,497.0,3.0,1,0.613233989,0.0
486,498.0,3.0,1,0.734080528,0.0
487,499.0,1.0,0,0.667510597,0.0
488,500.0,2.0,1,0.883486615,0.0
489,501.0,2.0,1,0.726956478,0.0
490,502.0,4.0,1,0.830322454,0.0
491,503.0,3.0,1,0.823306934,0.0
492,504.0,4.0,1,0.810730446,0.0
493,505.0,2.0,1,0.886639224,0.0
494,506.0,1.0,0,0.762121712,0.0
495,507.0,4.0,1,0.661489936,0.0
496,508.0,3.0,1,0.833572307,0.0
497,509.0,5.0,1,0.627129259,1.0
498,510.0,4.0,1,0.857526126,0.0
499,511.0,2.0,1,0.888121803,0.0
500,512.0,3.0,1,0.888219227,0.0
501,513.0,3.0,1,0.691511391,0.0
502,514.0,1.0,0,0.865178127,0.0
503,515.0,6.0,1,0.69166437,0.0
504,516.0,4.0,2,0.804163527,0.0
505,517.0,1.0,0,0.85657618,0.0
506,518.0,6.0,1,0.906158997,0.0
507,519.0,3.0,1,0.830739545,1.0
508,520.0,4.0,1,0.890594699,0.0
509,521.0,3.0,1,0.811615362,0.0
510,522.0,3.0,1,0.858901425,1.0
511,523.0,4.0,1,0.713186138,0.0
512,524.0,2.0,2,0.666283683,0.0
513,525.0,3.0,1,0.617248788,0.0
514,526.0,3.0,1,0.744404639,0.0
515,527.0,5.0,1,0.770592332,0.0
516,528.0,3.0,1,0.700518824,0.0
517,529.0,2.0,1,0.656088541,0.0
518,530.0,3.0,1,0.672670502,0.0
519,531.0,1.0,1,0.674134919,0.0
520,532.0,1.0,1,0.659977675,0.0
521,533.0,4.0,1,0.896840826,0.0
522,534.0,2.0,1,0.884991347,0.0
523,535.0,4.0,1,0.865467532,0.0
524,536.0,1.0,0,0.667594487,0.0
525,537.0,3.0,1,0.720533832,0.0
526,538.0,5.0,1,0.833274753,0.0
527,539.0,6.0,1,0.607457574,0.0
528,540.0,1.0,0,0.796688994,0.0
529,541.0,3.0,1,0.822258853,0.0
530,542.0,2.0,1,0.774905717,0.0
531,543.0,1.0,0,0.73826304,0.0
532,544.0,2.0,2,0.850647142,0.0
533,545.0,2.0,1,0.772959584,0.0
534,546.0,3.0,1,0.821344024,0.0
535,547.0,2.0,1,0.666833194,0.0
536,548.0,3.0,1,0.836614091,0.0
537,549.0,4.0,2,0.828142934,0.0
538,550.0,1.0,0,0.621726517,0.0
539,551.0,2.0,1,0.605572261,0.0
540,552.0,6.0,1,0.830997417,0.0
541,553.0,3.0,1,0.887058203,1.0
542,554.0,2.0,1,0.907199904,0.0
543,555.0,4.0,1,0.686515501,0.0
544,556.0,3.0,1,0.673181435,0.0
545,557.0,2.0,1,0.612164802,0.0
546,558.0,4.0,1,0.812738542,0.0
547,559.0,5.0,1,0.801470801,0.0
548,560.0,1.0,0,0.816611146,0.0
549,561.0,2.0,1,0.721922493,0.0
550,562.0,5.0,1,0.65326176,0.0
551,564.0,5.0,2,0.66244304,0.0
552,565.0,3.0,1,0.824015629,0.0
553,566.0,1.0,0,0.801252817,0.0
554,567.0,1.0,0,0.755063303,0.0
555,568.0,2.0,1,0.763226744,0.0
556,569.0,3.0,1,0.675888921,0.0
557,570.0,5.0,1,0.821501657,0.0
558,571.0,5.0,1,0.86679756,1.0
559,572.0,3.0,1,0.6889528,0.0
560,574.0,4.0,1,0.820262311,0.0
561,575.0,7.0,1,0.733519476,0.0
562,576.0,3.0,1,0.643488932,0.0
563,577.0,5.0,1,0.651639586,0.0
564,578.0,1.0,0,0.645846627,0.0
565,579.0,4.0,1,0.612101879,1.0
566,580.0,1.0,0,0.824421495,0.0
567,581.0,4.0,1,0.788442436,0.0
568,582.0,1.0,0,0.851089616,0.0
569,583.0,3.0,1,0.841749081,0.0
570,584.0,1.0,0,0.707627259,0.0
571,585.0,1.0,0,0.637734637,0.0
572,586.0,4.0,1,0.684389751,0.0
573,587.0,3.0,1,0.614254648,0.0
574,588.0,4.0,1,0.71881149,0.0
575,589.0,3.0,1,0.835147484,0.0
576,590.0,1.0,0,0.881676557,0.0
577,591.0,4.0,1,0.815099151,0.0
578,592.0,3.0,1,0.617921025,0.0
579,593.0,5.0,1,0.872952868,1.0
580,594.0,6.0,1,0.821561576,0.0
581,595.0,2.0,1,0.757737804,0.0
582,596.0,5.0,1,0.643136062,1.0
583,597.0,6.0,1,0.904053454,0.0
584,598.0,3.0,1,0.60833244,0.0
585,599.0,2.0,1,0.758179593,1.0
586,600.0,4.0,1,0.614248326,0.0
587,601.0,3.0,1,0.616815343,0.0
588,602.0,1.0,0,0.864059356,0.0
589,604.0,2.0,1,0.671951526,0.0
590,605.0,3.0,1,0.654057794,0.0
591,606.0,5.0,1,0.882099713,0.0
592,607.0,2.0,1,0.909585213,0.0
593,608.0,4.0,1,0.904926746,0.0
594,609.0,5.0,1,0.843937729,0.0
595,610.0,2.0,1,0.769457403,1.0
596,611.0,5.0,1,0.779271692,0.0
597,612.0,5.0,1,0.871830094,1.0
598,613.0,2.0,1,0.887628367,0.0
599,614.0,4.0,1,0.740270139,0.0
600,615.0,1.0,0,0.6414815,0.0
601,616.0,3.0,1,0.791163031,0.0
602,617.0,2.0,1,0.839916365,0.0
603,618.0,3.0,1,0.754569956,0.0
604,619.0,2.0,1,0.806649295,0.0
605,620.0,2.0,1,0.801347355,0.0
606,621.0,5.0,1,0.636520063,0.0
607,622.0,3.0,1,0.882629882,0.0
608,623.0,1.0,0,0.858215884,0.0
609,624.0,4.0,1,0.768190809,0.0
610,625.0,6.0,2,0.819232288,1.0
611,626.0,3.0,2,0.849501907,0.0
612,627.0,2.0,1,0.636866955,0.0
613,628.0,2.0,1,0.859802405,0.0
614,629.0,5.0,1,0.691903148,0.0
615,631.0,4.0,1,0.827967861,0.0
616,632.0,2.0,1,0.831770943,0.0
617,633.0,4.0,2,0.643497614,0.0
618,634.0,2.0,1,0.78576332,0.0
619,635.0,1.0,0,0.787741188,0.0
620,636.0,4.0,1,0.803554167,0.0
621,637.0,2.0,1,0.640885849,0.0
622,638.0,3.0,1,0.904341223,1.0
623,640.0,2.0,1,0.608102999,0.0
624,641.0,4.0,1,0.909580011,0.0
625,642.0,4.0,1,0.680542657,1.0
626,643.0,6.0,1,0.701423103,0.0
627,644.0,3.0,1,0.870757001,0.0
628,645.0,1.0,0,0.901947884,0.0
629,646.0,4.0,1,0.636268616,0.0
630,648.0,3.0,1,0.738429205,0.0
631,649.0,3.0,1,0.826961923,1.0
